,CustomerID,YearMonth,Year,InvoiceAmt
2346,S1772,20113,2011,732.6
1231,S1106,20113,2011,72.0
30,106,20113,2011,316.99
101,1160,20113,2011,10523.0
109,1186,20113,2011,715.0
93,1144,20113,2011,470.8
37,1065,20113,2011,1208.36
3530,S94,20113,2011,2894.37
1962,S1546,20113,2011,819.72
1978,S155,20113,2011,104.52000000000001
1979,S1550,20113,2011,1963.8100000000002
3531,S941,20113,2011,281.96000000000004
3534,S962,20113,2011,2738.28
515,1921,20113,2011,169.4
521,1923,20113,2011,981.96
2600,S1983,20113,2011,24.73
1240,S1111,20113,2011,0.0
1253,S1122,20113,2011,407.44
1260,S1135,20113,2011,362.26
3067,S287,20113,2011,181.25
3072,S299,20113,2011,1587.1100000000001
3076,S3,20113,2011,2206.29
1203,S1027,20113,2011,1443.93
1206,S103,20113,2011,29.91
3049,S249,20113,2011,1419.9299999999998
3059,S267,20113,2011,78.25999999999999
1213,S1069,20113,2011,279.74
1224,S1104,20113,2011,558.0
0,100,20113,2011,3899.9
21,1058,20113,2011,70.74000000000001
47,1079,20113,2011,11961.13
146,13,20113,2011,3941.7
1329,S1179,20113,2011,65.93
3104,S329,20113,2011,73.35
1300,S1156,20113,2011,23.58
1307,S1158,20113,2011,288.0
1314,S1169,20113,2011,926.2
1162,S100,20113,2011,20.5
2396,S1813,20113,2011,167.51
2312,S1751,20113,2011,936.46
2313,S1754,20113,2011,115.34
2322,S1755,20113,2011,590.0
2329,S1756,20113,2011,696.63
70,1119,20113,2011,4195.0599999999995
3029,S24,20113,2011,510.63
3039,S241,20113,2011,161.2
1170,S101,20113,2011,113.62
1171,S1011,20113,2011,961.23
2977,S2330,20113,2011,413.85
3152,S462,20113,2011,193.84
1341,S1182,20113,2011,1056.28
1350,S1186,20113,2011,8250.58
3166,S471,20113,2011,1529.55
3135,S433,20113,2011,552.84
3138,S439,20113,2011,43.82
159,1341,20113,2011,445.6
2402,S1818,20113,2011,1302.05
2412,S184,20113,2011,12.0
2417,S1846,20113,2011,14.88
167,1351,20113,2011,2217.07
176,136,20113,2011,762.64
3012,S2358,20113,2011,3678.92
3018,S2359,20113,2011,176.78
3019,S236,20113,2011,6657.66
2964,S2322,20113,2011,305.0
2970,S2323,20113,2011,538.9
1085,99,20113,2011,572.1800000000001
2990,S2341,20113,2011,162.56
1375,S1192,20113,2011,59.65
186,140,20113,2011,0.0
2418,S1847,20113,2011,303.15
2422,S1859,20113,2011,487.89000000000004
2291,S1738,20113,2011,205.27
2296,S1739,20113,2011,120.92999999999999
192,1408,20113,2011,19660.0
3750,s828,20113,2011,703.01
2999,S2342,20113,2011,700.5899999999999
3002,S2348,20113,2011,68.38
1360,S1187,20113,2011,465.6
1365,S1190,20113,2011,1409.38
1036,81,20113,2011,2205.93
2946,S2312,20113,2011,362.95
2949,S2313,20113,2011,47.16
1046,819,20113,2011,467.84
3191,S479,20113,2011,222.60999999999999
