,TerritoryCodes,YearMonth,Year,InvoiceAmt
0,Central/E.Anglia,20113,2011,55064.96
20,EU INV,20113,2011,6879.71
71,Non EU,20113,2011,220568.38
61,London,20113,2011,7376.9400000000005
50,House Account,20113,2011,1113.27
40,East Midlands,20113,2011,42961.34
91,North East/Yorkshire,20113,2011,6087.24
81,North East,20113,2011,28619.34
198,none,20113,2011,2471.07
188,West Midlands (West),20113,2011,57371.39
111,North West (South),20113,2011,1933.7
101,North West,20113,2011,47576.14
158,South East/London,20113,2011,62567.39
168,South West,20113,2011,36762.26
128,Scotland,20113,2011,11126.369999999999
178,West Midlands (East),20113,2011,61714.27
138,Scotland Depot,20113,2011,0.0
148,South Coast,20113,2011,40510.35
30,East Anglia,20113,2011,21476.39
10,EU,20113,2011,52339.979999999996
1,Central/E.Anglia,20114,2011,22835.06
102,North West,20114,2011,39591.92
189,West Midlands (West),20114,2011,14338.29
112,North West (South),20114,2011,1320.04
82,North East,20114,2011,9951.86
92,North East/Yorkshire,20114,2011,9535.199999999999
60,Ireland,20114,2011,1830.28
51,House Account,20114,2011,416.3
21,EU INV,20114,2011,10771.35
41,East Midlands,20114,2011,25676.27
62,London,20114,2011,8277.2
72,Non EU,20114,2011,318679.86
129,Scotland,20114,2011,13325.35
159,South East/London,20114,2011,29036.32
179,West Midlands (East),20114,2011,66833.77
169,South West,20114,2011,17176.8
31,East Anglia,20114,2011,8167.93
139,Scotland Depot,20114,2011,324.0
11,EU,20114,2011,5516.73
149,South Coast,20114,2011,35253.6
140,Scotland Depot,20115,2011,0.0
12,EU,20115,2011,45620.06
32,East Anglia,20115,2011,11935.38
150,South Coast,20115,2011,27165.73
180,West Midlands (East),20115,2011,60316.42
113,North West (South),20115,2011,1055.78
160,South East/London,20115,2011,40435.24
170,South West,20115,2011,17867.07
83,North East,20115,2011,18750.38
103,North West,20115,2011,30879.15
22,EU INV,20115,2011,14458.26
93,North East/Yorkshire,20115,2011,5097.43
190,West Midlands (West),20115,2011,26884.41
73,Non EU,20115,2011,272388.48
2,Central/E.Anglia,20115,2011,44811.61
130,Scotland,20115,2011,11542.42
52,House Account,20115,2011,991.06
42,East Midlands,20115,2011,24423.67
63,London,20115,2011,11441.03
191,West Midlands (West),20116,2011,36297.62
84,North East,20116,2011,21985.2
104,North West,20116,2011,45932.0
199,none,20116,2011,3233.95
94,North East/Yorkshire,20116,2011,13415.16
13,EU,20116,2011,47624.71
53,House Account,20116,2011,700.0
141,Scotland Depot,20116,2011,0.0
43,East Midlands,20116,2011,26870.84
3,Central/E.Anglia,20116,2011,41228.229999999996
23,EU INV,20116,2011,24258.24
74,Non EU,20116,2011,383688.31
64,London,20116,2011,14505.96
181,West Midlands (East),20116,2011,74942.12
151,South Coast,20116,2011,34324.84
161,South East/London,20116,2011,30982.1
131,Scotland,20116,2011,11836.66
33,East Anglia,20116,2011,12280.72
171,South West,20116,2011,23150.46
121,Northern Ireland,20116,2011,501.5
114,North West (South),20116,2011,504.0
24,EU INV,20117,2011,34722.65
